1,2016-02-21,"2016, Language Martyrs Day"
2,2016-03-17,"2016, Bangabandhu's Birthday"
3,2016-03-26,"2016, Independence Day"
4,2016-04-14,"2016, Bengali New Year"
5,2016-01-05,"2016, International Labour Day"
6,2016-05-25,"2016, Buddha Purnima"
7,2016-05-23,"2016, Shab-e-barat"
8,2016-07-01,"2016, Jummatul Bidah"
9,2016-07-03,"2016, Shab-e-Qadr"
10,2016-07-05,"2016, Eid-ul-Fitr Holiday"
11,2016-07-06,"2016, Eid-ul-Fitr"
12,2016-07-07,"2016, Eid-ul-Fitr Holiday"
13,2016-08-15,"2016, National Mourning Day"
14,2016-08-25,"2016, Janmashtami"
15,2016-09-11,"2016, Eid-ul-Azha Holiday"
16,2016-09-12,"2016, Eid-ul-Azha"
17,2016-09-13,"2016, Eid-ul-Azha Holiday"
18,2016-10-11,"2016, Durga Puja"
19,2016-10-12,"2016, Ashura"
20,2016-12-12,"2016, Eid-e-Milad-un Nabi"
21,2016-12-16,"2016, Victory Day"
22,2016-12-25,"2016, Christmas Day"
